id,image_id,geometry,class
1,001.png,"[(521.0,358.0),(1564.0,358.0),(1564.0,512.0),(521.0,512.0)]",airportrunway
2,002.png,"[(891.0,278.0),(2272.0,278.0),(2272.0,527.0),(891.0,527.0)]",airportrunway
3,003.png,"[(333.0,522.0),(1793.0,522.0),(1793.0,582.0),(333.0,582.0)]",airportrunway
4,003.png,"[(253.0,95.0),(1248.0,95.0),(1248.0,140.0),(253.0,140.0)]",airportrunway
5,004.png,"[(226.0,312.0),(1721.0,312.0),(1721.0,484.0),(226.0,484.0)]",airportrunway
6,005.png,"[(85.0,385.0),(2244.0,385.0),(2244.0,449.0),(85.0,449.0)]",airportrunway
7,006.png,"[(115.0,155.0),(1335.0,155.0),(1335.0,208.0),(115.0,208.0)]",airportrunway
8,007.png,"[(298.0,215.0),(862.0,215.0),(862.0,266.0),(298.0,266.0)]",airportrunway
9,007.png,"[(1043.0,100.0),(1917.0,100.0),(1917.0,139.0),(1043.0,139.0)]",airportrunway
10,008.png,"[(268.0,408.0),(873.0,408.0),(873.0,456.0),(268.0,456.0)]",airportrunway
11,009.png,"[(606.0,113.0),(1044.0,113.0),(1044.0,147.0),(606.0,147.0)]",airportrunway
12,009.png,"[(1261.0,196.0),(1580.0,196.0),(1580.0,229.0),(1261.0,229.0)]",airportrunway
13,009.png,"[(399.0,371.0),(820.0,371.0),(820.0,438.0),(399.0,438.0)]",airportrunway
14,010.png,"[(453.0,113.0),(968.0,113.0),(968.0,153.0),(453.0,153.0)]",airportrunway
15,010.png,"[(1374.0,278.0),(1721.0,278.0),(1721.0,324.0),(1374.0,324.0)]",airportrunway
16,011.png,"[(249.0,141.0),(706.0,141.0),(706.0,246.0),(249.0,246.0)]",airportrunway
17,012.png,"[(455.0,136.0),(745.0,136.0),(745.0,173.0),(455.0,173.0)]",airportrunway
18,012.png,"[(1166.0,278.0),(1580.0,278.0),(1580.0,326.0),(1166.0,326.0)]",airportrunway
19,013.png,"[(260.0,149.0),(1778.0,149.0),(1778.0,237.0),(260.0,237.0)]",airportrunway
20,013.png,"[(387.0,63.0),(1789.0,63.0),(1789.0,120.0),(387.0,120.0)]",airportrunway
21,014.png,"[(276.0,481.0),(898.0,481.0),(898.0,533.0),(276.0,533.0)]",airportrunway
22,015.png,"[(483.0,275.0),(1580.0,275.0),(1580.0,318.0),(483.0,318.0)]",airportrunway
23,016.png,"[(294.0,142.0),(1435.0,142.0),(1435.0,187.0),(294.0,187.0)]",airportrunway
24,017.png,"[(144.0,364.0),(170.0,364.0),(170.0,899.0),(144.0,899.0)]",airportrunway
25,018.png,"[(366.0,274.0),(1636.0,274.0),(1636.0,309.0),(366.0,309.0)]",airportrunway
26,019.png,"[(1192.0,222.0),(1890.0,222.0),(1890.0,268.0),(1192.0,268.0)]",airportrunway
27,020.png,"[(300.0,302.0),(1513.0,302.0),(1513.0,321.0),(300.0,321.0)]",airportrunway
28,021.png,"[(640.0,398.0),(1014.0,398.0),(1014.0,429.0),(640.0,429.0)]",airportrunway
29,023.png,"[(574.0,149.0),(1155.0,149.0),(1155.0,175.0),(574.0,175.0)]",airportrunway
30,024.png,"[(768.0,218.0),(1216.0,218.0),(1216.0,258.0),(768.0,258.0)]",airportrunway
31,025.png,"[(850.0,148.0),(1495.0,148.0),(1495.0,188.0),(850.0,188.0)]",airportrunway
32,026.png,"[(115.0,278.0),(2225.0,278.0),(2225.0,344.0),(115.0,344.0)]",airportrunway
33,027.png,"[(922.0,360.0),(1427.0,360.0),(1427.0,416.0),(922.0,416.0)]",airportrunway
34,028.png,"[(885.0,167.0),(1509.0,167.0),(1509.0,219.0),(885.0,219.0)]",airportrunway
35,029.png,"[(892.0,123.0),(1541.0,123.0),(1541.0,173.0),(892.0,173.0)]",airportrunway
36,030.png,"[(723.0,281.0),(1505.0,281.0),(1505.0,334.0),(723.0,334.0)]",airportrunway
37,031.png,"[(839.0,97.0),(1151.0,97.0),(1151.0,134.0),(839.0,134.0)]",airportrunway
38,031.png,"[(865.0,852.0),(1224.0,852.0),(1224.0,890.0),(865.0,890.0)]",airportrunway
39,032.png,"[(710.0,373.0),(1071.0,373.0),(1071.0,411.0),(710.0,411.0)]",airportrunway
40,032.png,"[(767.0,529.0),(1022.0,529.0),(1022.0,568.0),(767.0,568.0)]",airportrunway
41,033.png,"[(713.0,82.0),(953.0,82.0),(953.0,103.0),(713.0,103.0)]",airportrunway
42,033.png,"[(560.0,600.0),(804.0,600.0),(804.0,624.0),(560.0,624.0)]",airportrunway
43,034.png,"[(850.0,927.0),(1248.0,927.0),(1248.0,966.0),(850.0,966.0)]",airportrunway
44,034.png,"[(722.0,138.0),(1138.0,138.0),(1138.0,161.0),(722.0,161.0)]",airportrunway
45,035.png,"[(877.0,50.0),(1226.0,50.0),(1226.0,82.0),(877.0,82.0)]",airportrunway
46,035.png,"[(132.0,862.0),(1540.0,862.0),(1540.0,893.0),(132.0,893.0)]",airportrunway
47,036.png,"[(827.0,365.0),(1518.0,365.0),(1518.0,402.0),(827.0,402.0)]",airportrunway
48,036.png,"[(1512.0,175.0),(1870.0,175.0),(1870.0,203.0),(1512.0,203.0)]",airportrunway
49,037.png,"[(695.0,122.0),(1069.0,122.0),(1069.0,141.0),(695.0,141.0)]",airportrunway
50,038.png,"[(782.0,78.0),(1311.0,78.0),(1311.0,99.0),(782.0,99.0)]",airportrunway
51,038.png,"[(638.0,734.0),(1205.0,734.0),(1205.0,765.0),(638.0,765.0)]",airportrunway
52,039.png,"[(728.0,528.0),(1228.0,528.0),(1228.0,571.0),(728.0,571.0)]",airportrunway
53,040.png,"[(788.0,82.0),(1275.0,82.0),(1275.0,116.0),(788.0,116.0)]",airportrunway
54,040.png,"[(757.0,717.0),(1173.0,717.0),(1173.0,752.0),(757.0,752.0)]",airportrunway
55,041.png,"[(686.0,193.0),(1209.0,193.0),(1209.0,224.0),(686.0,224.0)]",airportrunway
56,042.png,"[(762.0,332.0),(1162.0,332.0),(1162.0,353.0),(762.0,353.0)]",airportrunway
57,043.png,"[(1032.0,214.0),(1542.0,214.0),(1542.0,254.0),(1032.0,254.0)]",airportrunway
