id,image_id,geometry,class
1,001.png,"[(1027.0,456.0),(1189.0,456.0),(1189.0,506.0),(1027.0,506.0)]",airportrunway
2,002.png,"[(1046.0,447.0),(1349.0,447.0),(1349.0,513.0),(1046.0,513.0)]",airportrunway
3,003.png,"[(1042.0,82.0),(1331.0,82.0),(1331.0,163.0),(1042.0,163.0)]",airportrunway
4,003.png,"[(1073.0,514.0),(1420.0,514.0),(1420.0,597.0),(1073.0,597.0)]",airportrunway
5,004.png,"[(1018.0,411.0),(1294.0,411.0),(1294.0,497.0),(1018.0,497.0)]",airportrunway
6,005.png,"[(1062.0,381.0),(1318.0,381.0),(1318.0,441.0),(1062.0,441.0)]",airportrunway
7,006.png,"[(925.0,160.0),(1091.0,160.0),(1091.0,201.0),(925.0,201.0)]",airportrunway
8,007.png,"[(1050.0,208.0),(1238.0,208.0),(1238.0,264.0),(1050.0,264.0)]",airportrunway
9,008.png,"[(997.0,409.0),(1142.0,409.0),(1142.0,453.0),(997.0,453.0)]",airportrunway
10,009.png,"[(960.0,186.0),(1132.0,186.0),(1132.0,226.0),(960.0,226.0)]",airportrunway
11,009.png,"[(1000.0,383.0),(1164.0,383.0),(1164.0,418.0),(1000.0,418.0)]",airportrunway
12,010.png,"[(919.0,92.0),(1069.0,92.0),(1069.0,146.0),(919.0,146.0)]",airportrunway
13,010.png,"[(950.0,288.0),(1113.0,288.0),(1113.0,334.0),(950.0,334.0)]",airportrunway
14,011.png,"[(963.0,233.0),(1178.0,233.0),(1178.0,302.0),(963.0,302.0)]",airportrunway
15,012.png,"[(989.0,117.0),(1160.0,117.0),(1160.0,159.0),(989.0,159.0)]",airportrunway
16,012.png,"[(805.0,295.0),(947.0,295.0),(947.0,337.0),(805.0,337.0)]",airportrunway
17,013.png,"[(966.0,178.0),(1119.0,178.0),(1119.0,223.0),(966.0,223.0)]",airportrunway
18,013.png,"[(952.0,72.0),(1138.0,72.0),(1138.0,110.0),(952.0,110.0)]",airportrunway
19,014.png,"[(1087.0,495.0),(1245.0,495.0),(1245.0,542.0),(1087.0,542.0)]",airportrunway
20,015.png,"[(1008.0,275.0),(1136.0,275.0),(1136.0,315.0),(1008.0,315.0)]",airportrunway
21,016.png,"[(802.0,154.0),(948.0,154.0),(948.0,182.0),(802.0,182.0)]",airportrunway
22,017.png,"[(141.0,661.0),(172.0,661.0),(172.0,745.0),(141.0,745.0)]",airportrunway
23,017.png,"[(268.0,505.0),(296.0,505.0),(296.0,599.0),(268.0,599.0)]",airportrunway
24,018.png,"[(899.0,271.0),(1018.0,271.0),(1018.0,308.0),(899.0,308.0)]",airportrunway
25,019.png,"[(1022.0,216.0),(1206.0,216.0),(1206.0,273.0),(1022.0,273.0)]",airportrunway
26,020.png,"[(883.0,289.0),(1035.0,289.0),(1035.0,328.0),(883.0,328.0)]",airportrunway
27,021.png,"[(798.0,397.0),(907.0,397.0),(907.0,434.0),(798.0,434.0)]",airportrunway
28,023.png,"[(815.0,142.0),(936.0,142.0),(936.0,177.0),(815.0,177.0)]",airportrunway
29,024.png,"[(915.0,220.0),(1070.0,220.0),(1070.0,254.0),(915.0,254.0)]",airportrunway
30,025.png,"[(1012.0,146.0),(1172.0,146.0),(1172.0,193.0),(1012.0,193.0)]",airportrunway
